patch_number,VegetationIndex,Patch_Area,VI_Area,Pure_GaborArea,AreaSum,Unknown_Area,class,Normalized_VI_Area,Normalized_Pure_GaborArea,Normalized_Unknown_Area
1280_1536_3840_4096,MSAVI,65535,41562,6554.0,48116.0,17419.0,best,0.6341954680704966,0.10000762951094835,0.26579690241855497
1280_1536_4096_4352,MSAVI,65535,42671,1359.0,44030.0,21505.0,best,0.651117723353933,0.020737010757610436,0.32814526588845655
1280_1536_4352_4608,MSAVI,65535,40403,3216.0,43619.0,21916.0,best,0.6165102616922256,0.04907301441977569,0.33441672388799876
1280_1536_4608_4864,MSAVI,65535,41708,1751.0,43459.0,22076.0,best,0.6364232852674143,0.026718547341115433,0.33685816739147023
1280_1536_4864_5120,MSAVI,65535,40311,2377.0,42688.0,22847.0,best,0.6151064316777295,0.0362706950484474,0.34862287327382313
1280_1536_5120_5376,MSAVI,65535,42265,3940.0,46205.0,19330.0,best,0.6449225604638743,0.0601205462729839,0.29495689326314184
1280_1536_5376_5632,MSAVI,65535,42292,5342.0,47634.0,17901.0,best,0.6453345540550851,0.08151369497215229,0.2731517509727626
1280_1536_5632_5888,MSAVI,65535,40613,3003.0,43616.0,21919.0,best,0.6197146562905318,0.04582284275577935,0.33446250095368885
1280_1536_5888_6144,MSAVI,65535,46737,3744.0,50481.0,15054.0,best,0.7131609063859007,0.0571297779812314,0.22970931563286792
1280_1536_6144_6400,MSAVI,65535,46106,5746.0,51852.0,13683.0,best,0.7035324635690853,0.08767833981841763,0.20878919661249715
1280_1536_6400_6656,MSAVI,65535,45341,2468.0,47809.0,17726.0,best,0.6918593118181124,0.03765926604104677,0.27048142214084075
1280_1536_6656_6912,MSAVI,65535,42787,3240.0,46027.0,19508.0,best,0.6528877698939498,0.049439230945296404,0.2976729991607538
1280_1536_6912_7168,MSAVI,65535,40799,1858.0,42657.0,22878.0,best,0.6225528343633173,0.02835126268406195,0.3490959029526207
1280_1536_7168_7424,MSAVI,65535,40920,3180.0,44100.0,21435.0,best,0.6243991760128176,0.04852368963149462,0.3270771343556878
1280_1536_7424_7680,MSAVI,65535,40524,3205.0,43729.0,21806.0,best,0.6183566033417258,0.04890516517891203,0.33273823147936216
1280_1536_7680_7936,MSAVI,65535,40236,1335.0,41571.0,23964.0,best,0.6139620050354773,0.020370794232089724,0.36566720073243303
1280_1536_7936_8192,MSAVI,65535,43133,4303.0,47436.0,18099.0,best,0.6581673914702068,0.0656595712214847,0.27617303730830856
1280_1536_8192_8448,MSAVI,65535,38506,3604.0,42110.0,23425.0,best,0.5875638971541924,0.0549935149156939,0.3574425879301137
1280_1536_8448_8704,MSAVI,65535,39919,813.0,40732.0,24803.0,best,0.6091248950942244,0.01240558480201419,0.37846952010376134
1280_1536_8704_8960,MSAVI,65535,36828,4134.0,40962.0,24573.0,best,0.5619592584115358,0.063080796520943,0.37495994506752117
1280_1536_8960_9216,MSAVI,65535,41286,518.0,41804.0,23731.0,best,0.6299839780270085,0.007904173342488746,0.3621118486305028
1536_1792_256_512,MSAVI,65535,46409,7545.0,53954.0,11581.0,best,0.7081559472037843,0.1151293202105745,0.17671473258564127
1536_1792_512_768,MSAVI,65535,40308,1197.0,41505.0,24030.0,best,0.6150606546120394,0.018265049210345618,0.366674296177615
1536_1792_768_1024,MSAVI,65533,40167,1195.0,41362.0,24171.0,best,0.6129278378832039,0.018235087665756183,0.3688370744510399
1536_1792_1024_1280,MSAVI,65535,44293,580.0,44873.0,20662.0,best,0.6758678568703747,0.008850232700083924,0.31528191042954146
1536_1792_1280_1536,MSAVI,65535,44235,2036.0,46271.0,19264.0,best,0.6749828336003663,0.031067368581673915,0.2939497978179599
1536_1792_1536_1792,MSAVI,65535,40306,2917.0,43223.0,22312.0,best,0.615030136568246,0.044510566872663464,0.3404592965590906
1536_1792_1792_2048,MSAVI,65535,40815,1037.0,41852.0,23683.0,best,0.6227969787136645,0.01582360570687419,0.36137941557946135
1536_1792_2048_2304,MSAVI,65535,38960,2102.0,41062.0,24473.0,best,0.5944914930952926,0.032074464026855876,0.37343404287785154
1536_1792_2304_2560,MSAVI,65535,42011,3080.0,45091.0,20444.0,best,0.6410467689021134,0.04699778744182498,0.31195544365606165
1536_1792_2560_2816,MSAVI,65535,41562,4650.0,46212.0,19323.0,best,0.6341954680704966,0.07095445181963836,0.29485008010986496
1536_1792_2816_3072,MSAVI,65535,41939,8787.0,50726.0,14809.0,best,0.6399481193255512,0.13408102540627145,0.2259708552681773
1536_1792_3072_3328,MSAVI,65535,40212,1733.0,41945.0,23590.0,best,0.6135957885099566,0.0264438849469749,0.3599603265430686
1536_1792_3328_3584,MSAVI,65535,43588,2660.0,46248.0,19287.0,best,0.6651102464332036,0.04058899824521248,0.2943007553215839
1536_1792_3584_3840,MSAVI,65535,40969,2083.0,43052.0,22483.0,best,0.6251468680857557,0.031784542610818645,0.34306858930342565
1536_1792_3840_4096,MSAVI,65535,41449,3734.0,45183.0,20352.0,best,0.63247119859617,0.05697718776226444,0.3105516136415656
1536_1792_4096_4352,MSAVI,65535,42073,491.0,42564.0,22971.0,best,0.6419928282597086,0.007492179751277943,0.3505149919890135
1536_1792_4352_4608,MSAVI,65535,43060,9235.0,52295.0,13240.0,best,0.6570534828717479,0.14091706721599145,0.20202944991226063
1536_1792_4608_4864,MSAVI,65535,40355,3227.0,43582.0,21953.0,best,0.6157778286411841,0.04924086366063935,0.3349813076981765
1536_1792_4864_5120,MSAVI,65535,41917,2697.0,44614.0,20921.0,best,0.6396124208438239,0.04115358205539025,0.3192339971007858
1536_1792_5120_5376,MSAVI,65535,44471,2082.0,46553.0,18982.0,best,0.6785839627679866,0.03176928358892195,0.2896467536430915
1536_1792_5376_5632,MSAVI,65535,44687,3389.0,48076.0,17459.0,best,0.681879911497673,0.05171282520790417,0.2664072632944228
1536_1792_5632_5888,MSAVI,65535,41631,7137.0,48768.0,16767.0,best,0.6352483405813687,0.10890363927672236,0.2558480201419089
1536_1792_5888_6144,MSAVI,65535,44443,5323.0,49766.0,15769.0,best,0.6781567101548791,0.08122377355611506,0.24061951628900588
1536_1792_6144_6400,MSAVI,65535,44469,2485.0,46954.0,18581.0,best,0.6785534447241932,0.037918669413290605,0.2835278858625162
1536_1792_6400_6656,MSAVI,65535,45038,3707.0,48745.0,16790.0,best,0.6872358281834134,0.056565194171053636,0.2561989776455329
1536_1792_6656_6912,MSAVI,65535,42944,5451.0,48395.0,17140.0,best,0.6552834363317311,0.08317692835889219,0.2615396353093767
1536_1792_6912_7168,MSAVI,65535,41495,3714.0,45209.0,20326.0,best,0.633173113603418,0.05667200732433051,0.3101548790722515
1536_1792_7168_7424,MSAVI,65535,40737,1892.0,42629.0,22906.0,best,0.6216067750057221,0.02887006942854963,0.3495231555657282
1536_1792_7424_7680,MSAVI,65535,38743,2068.0,40811.0,24724.0,best,0.5911802853437095,0.0315556572823682,0.3772640573739223
1536_1792_7680_7936,MSAVI,65535,38370,2619.0,40989.0,24546.0,best,0.5854886701762417,0.039963378347447925,0.37454795147631037
1536_1792_7936_8192,MSAVI,65535,37149,4083.0,41232.0,24303.0,best,0.5668574044403754,0.06230258640421149,0.37084000915541315
1536_1792_8192_8448,MSAVI,65535,39071,4041.0,43112.0,22423.0,best,0.5961852445258259,0.06166170748455024,0.34215304798962387
1536_1792_8448_8704,MSAVI,65535,40880,3044.0,43924.0,21611.0,best,0.6237888151369497,0.04644846265354391,0.32976272220950636
