,patch_number,VegetationIndex,Patch_Area,VI_Area,Pure_GaborArea,AreaSum,Unknown_Area,class,Normalized_VI_Area,Normalized_Pure_GaborArea,Normalized_Unknown_Area
79,1536_1792_6144_6400,MSAVI,65536,38862,6460.0,45322.0,20214.0,best,0.592987060546875,0.09857177734375,0.308441162109375
80,1536_1792_6400_6656,MSAVI,65536,38727,3725.0,42452.0,23084.0,best,0.5909271240234375,0.0568389892578125,0.35223388671875
81,1536_1792_6656_6912,MSAVI,65536,36388,6972.0,43360.0,22176.0,best,0.55523681640625,0.10638427734375,0.33837890625
82,1536_1792_6912_7168,MSAVI,65536,37721,6781.0,44502.0,21034.0,best,0.5755767822265625,0.1034698486328125,0.320953369140625
83,1536_1792_7168_7424,MSAVI,65536,38087,4775.0,42862.0,22674.0,best,0.5811614990234375,0.0728607177734375,0.345977783203125
84,1536_1792_7424_7680,MSAVI,65536,43697,2195.0,45892.0,19644.0,best,0.6667633056640625,0.0334930419921875,0.29974365234375
85,1536_1792_7680_7936,MSAVI,65536,40590,4125.0,44715.0,20821.0,best,0.619354248046875,0.0629425048828125,0.3177032470703125
86,1792_2048_1792_2048,MSAVI,65536,35700,10480.0,46180.0,19356.0,best,0.54473876953125,0.159912109375,0.29534912109375
87,1792_2048_2048_2304,MSAVI,65536,36814,11314.0,48128.0,17408.0,best,0.561737060546875,0.172637939453125,0.265625
88,1792_2048_2304_2560,MSAVI,65536,35548,7860.0,43408.0,22128.0,best,0.54241943359375,0.11993408203125,0.337646484375
89,1792_2048_2560_2816,MSAVI,65536,37137,6987.0,44124.0,21412.0,best,0.5666656494140625,0.1066131591796875,0.32672119140625
90,1792_2048_2816_3072,MSAVI,65536,34691,5378.0,40069.0,25467.0,best,0.5293426513671875,0.082061767578125,0.3885955810546875
91,1792_2048_3072_3328,MSAVI,65536,37209,6837.0,44046.0,21490.0,best,0.5677642822265625,0.1043243408203125,0.327911376953125
92,1792_2048_3328_3584,MSAVI,65536,32905,9919.0,42824.0,22712.0,best,0.5020904541015625,0.1513519287109375,0.3465576171875
93,1792_2048_3584_3840,MSAVI,65536,36327,8034.0,44361.0,21175.0,best,0.5543060302734375,0.122589111328125,0.3231048583984375
94,1792_2048_3840_4096,MSAVI,65536,37302,5579.0,42881.0,22655.0,best,0.569183349609375,0.0851287841796875,0.3456878662109375
95,1792_2048_4096_4352,MSAVI,65536,40711,8356.0,49067.0,16469.0,best,0.6212005615234375,0.12750244140625,0.2512969970703125
96,1792_2048_4352_4608,MSAVI,65536,38778,10258.0,49036.0,16500.0,best,0.591705322265625,0.156524658203125,0.25177001953125
97,1792_2048_4608_4864,MSAVI,65536,36615,9443.0,46058.0,19478.0,best,0.5587005615234375,0.1440887451171875,0.297210693359375
98,1792_2048_4864_5120,MSAVI,65536,36878,8681.0,45559.0,19977.0,best,0.562713623046875,0.1324615478515625,0.3048248291015625
99,1792_2048_5120_5376,MSAVI,65536,34761,7311.0,42072.0,23464.0,best,0.5304107666015625,0.1115570068359375,0.3580322265625
100,1792_2048_5376_5632,MSAVI,65536,35675,5232.0,40907.0,24629.0,best,0.5443572998046875,0.079833984375,0.3758087158203125
101,1792_2048_5632_5888,MSAVI,65536,37327,3800.0,41127.0,24409.0,best,0.5695648193359375,0.0579833984375,0.3724517822265625
102,1792_2048_5888_6144,MSAVI,65536,37416,3990.0,41406.0,24130.0,best,0.5709228515625,0.060882568359375,0.368194580078125
103,1792_2048_6144_6400,MSAVI,65536,39966,3344.0,43310.0,22226.0,best,0.609832763671875,0.051025390625,0.339141845703125
104,1792_2048_6400_6656,MSAVI,65536,39068,3738.0,42806.0,22730.0,best,0.59613037109375,0.057037353515625,0.346832275390625
105,1792_2048_6656_6912,MSAVI,65536,39243,8017.0,47260.0,18276.0,best,0.5988006591796875,0.1223297119140625,0.27886962890625
106,1792_2048_6912_7168,MSAVI,65536,36827,9157.0,45984.0,19552.0,best,0.5619354248046875,0.1397247314453125,0.29833984375
107,1792_2048_7168_7424,MSAVI,65536,35989,9071.0,45060.0,20476.0,best,0.5491485595703125,0.1384124755859375,0.31243896484375
108,1792_2048_7424_7680,MSAVI,65536,40531,5419.0,45950.0,19586.0,best,0.6184539794921875,0.0826873779296875,0.298858642578125
109,1792_2048_7680_7936,MSAVI,65536,38700,7884.0,46584.0,18952.0,best,0.59051513671875,0.12030029296875,0.2891845703125
110,1792_2048_7936_8192,MSAVI,65536,37517,6792.0,44309.0,21227.0,best,0.5724639892578125,0.1036376953125,0.3238983154296875
111,1792_2048_8192_8448,MSAVI,65536,36220,8501.0,44721.0,20815.0,best,0.55267333984375,0.1297149658203125,0.3176116943359375
112,1792_2048_8448_8704,MSAVI,65536,37590,8620.0,46210.0,19326.0,best,0.573577880859375,0.13153076171875,0.294891357421875
113,2048_2304_1792_2048,MSAVI,65536,40480,5266.0,45746.0,19790.0,best,0.61767578125,0.080352783203125,0.301971435546875
114,2048_2304_2048_2304,MSAVI,65536,37684,8409.0,46093.0,19443.0,best,0.57501220703125,0.1283111572265625,0.2966766357421875
115,2048_2304_2304_2560,MSAVI,65536,36923,7628.0,44551.0,20985.0,best,0.5634002685546875,0.11639404296875,0.3202056884765625
116,2048_2304_2560_2816,MSAVI,65536,36090,5866.0,41956.0,23580.0,best,0.550689697265625,0.089508056640625,0.35980224609375
117,2048_2304_2816_3072,MSAVI,65536,37661,9658.0,47319.0,18217.0,best,0.5746612548828125,0.147369384765625,0.2779693603515625
118,2048_2304_3072_3328,MSAVI,65536,37393,14536.0,51929.0,13607.0,best,0.5705718994140625,0.2218017578125,0.2076263427734375
119,2048_2304_3328_3584,MSAVI,65536,40027,11691.0,51718.0,13818.0,best,0.6107635498046875,0.1783905029296875,0.210845947265625
120,2048_2304_3584_3840,MSAVI,65536,35992,7766.0,43758.0,21778.0,best,0.5491943359375,0.118499755859375,0.332305908203125
121,2048_2304_3840_4096,MSAVI,65536,35334,4545.0,39879.0,25657.0,best,0.539154052734375,0.0693511962890625,0.3914947509765625
122,2048_2304_4096_4352,MSAVI,65536,38487,6205.0,44692.0,20844.0,best,0.5872650146484375,0.0946807861328125,0.31805419921875
123,2048_2304_4352_4608,MSAVI,65536,38522,8122.0,46644.0,18892.0,best,0.587799072265625,0.123931884765625,0.28826904296875
124,2048_2304_4608_4864,MSAVI,65536,34103,14488.0,48591.0,16945.0,best,0.5203704833984375,0.2210693359375,0.2585601806640625
125,2048_2304_4864_5120,MSAVI,65536,37870,11533.0,49403.0,16133.0,best,0.577850341796875,0.1759796142578125,0.2461700439453125
