patch_number,VegetationIndex,Patch_Area,VI_Area,Pure_GaborArea,AreaSum,Unknown_Area,class,Normalized_VI_Area,Normalized_Pure_GaborArea,Normalized_Unknown_Area
1280_1536_6656_6912,MSAVI,65535,40274,10195.0,50469.0,15066.0,best,0.6145418478675517,0.15556572823682002,0.22989242389562828
1280_1536_6912_7168,MSAVI,65535,39619,6474.0,46093.0,19442.0,best,0.6045471885252155,0.09878690775921263,0.29666590371557183
1280_1536_7168_7424,MSAVI,65535,37156,10757.0,47913.0,17622.0,best,0.5669642175936522,0.1641412985427634,0.26889448386358433
1280_1536_7424_7680,MSAVI,65535,36336,11581.0,47917.0,17618.0,best,0.5544518196383612,0.17671473258564127,0.26883344777599755
1280_1536_7680_7936,MSAVI,65535,35694,13056.0,48750.0,16785.0,best,0.544655527580682,0.1992217898832685,0.2561226825360494
1280_1536_7936_8192,MSAVI,65535,36459,14261.0,50720.0,14815.0,best,0.5563286793316549,0.21760891126878767,0.2260624093995575
1280_1536_8192_8448,MSAVI,65535,37765,13761.0,51526.0,14009.0,best,0.5762569619287403,0.20997940032043946,0.21376363775082016
1280_1536_8448_8704,MSAVI,65535,38552,8509.0,47061.0,18474.0,best,0.5882658121614405,0.12983901731898986,0.2818951705195697
1280_1536_8704_8960,MSAVI,65535,34515,1306.0,35821.0,29714.0,best,0.526665140764477,0.019928282597085525,0.4534065766384375
1280_1536_8960_9216,MSAVI,65535,33481,1152.0,34633.0,30902.0,best,0.5108873121232929,0.017578393224994278,0.4715342946517128
1280_1536_9216_9472,MSAVI,65535,34016,15431.0,49447.0,16088.0,best,0.5190508888380255,0.23546196688792248,0.24548714427405202
1280_1536_9472_9728,MSAVI,65535,33751,937.0,34688.0,30847.0,best,0.5150072480354009,0.014297703517204547,0.4706950484473945
1280_1536_9728_9984,MSAVI,65535,36833,81.0,36914.0,28621.0,best,0.5620355535210193,0.00123598077363241,0.4367284657053483
1280_1536_9984_10240,MSAVI,65535,37885,5384.0,43269.0,22266.0,best,0.5780880445563439,0.08215457389181353,0.33975738155184254
1280_1536_10240_10496,MSAVI,65535,38168,100.0,38268.0,27267.0,best,0.5824063477531091,0.0015259021896696422,0.41606775005722135
1280_1536_10496_10752,MSAVI,65535,33924,52.0,33976.0,31559.0,best,0.5176470588235295,0.0007934691386282139,0.4815594720378424
1280_1536_10752_11008,MSAVI,65535,32657,17302.0,49959.0,15576.0,best,0.49831387808041505,0.2640115968566415,0.23767452506294345
1280_1536_11008_11264,MSAVI,65535,32436,368.0,32804.0,32731.0,best,0.49494163424124515,0.005615320057984283,0.4994430457007706
1536_1792_512_768,MSAVI,65535,41728,1361.0,43089.0,22446.0,best,0.6367284657053482,0.02076752880140383,0.3425040054932479
1536_1792_768_1024,MSAVI,65535,39469,8486.0,47955.0,17580.0,best,0.602258335240711,0.12948805981536585,0.2682536049439231
1536_1792_1024_1280,MSAVI,65534,38539,6888.0,45427.0,20107.0,best,0.588076418347728,0.10510574663533433,0.30681783501693777
1536_1792_1280_1536,MSAVI,65535,38947,7903.0,46850.0,18685.0,best,0.5942931258106355,0.12059205004959182,0.2851148241397726
1536_1792_1536_1792,MSAVI,65535,38503,9257.0,47760.0,17775.0,best,0.5875181200885023,0.14125276569771877,0.2712291142137789
1536_1792_1792_2048,MSAVI,65535,39589,12791.0,52380.0,13155.0,best,0.6040894178683146,0.19517814908064393,0.20073243305104144
1536_1792_2048_2304,MSAVI,65535,41953,15373.0,57326.0,8209.0,best,0.6401617456321049,0.2345769436179141,0.12526131074998093
1536_1792_2304_2560,MSAVI,65535,43037,8942.0,51979.0,13556.0,best,0.6567025253681239,0.1364461738002594,0.20685130083161668
1536_1792_2560_2816,MSAVI,65535,39554,6050.0,45604.0,19931.0,best,0.6035553521019302,0.09231708247501336,0.30412756542305636
1536_1792_2816_3072,MSAVI,65535,39109,2969.0,42078.0,23457.0,best,0.5967650873579003,0.045304036011291675,0.35793087663080797
1536_1792_3072_3328,MSAVI,65535,36593,9437.0,46030.0,19505.0,best,0.5583733882658122,0.14399938963912412,0.2976272220950637
1536_1792_3328_3584,MSAVI,65535,35750,15759.0,51509.0,14026.0,best,0.545510032806897,0.24046692607003892,0.214023041123064
1536_1792_3584_3840,MSAVI,65535,46383,12867.0,59250.0,6285.0,best,0.7077592126344702,0.19633783474479286,0.09590295262073702
1536_1792_3840_4096,MSAVI,65535,40969,9909.0,50878.0,14657.0,best,0.6251468680857557,0.15120164797436483,0.22365148393987946
1536_1792_4096_4352,MSAVI,65535,41329,8218.0,49547.0,15988.0,best,0.6306401159685664,0.1253986419470512,0.24396124208438238
